"Time","productpage"
2024-03-27 09:20:00,0
2024-03-27 09:24:00,0
2024-03-27 09:28:00,80
2024-03-27 09:32:00,90
2024-03-27 09:36:00,0
2024-03-27 09:40:00,0
2024-03-27 09:44:00,72
2024-03-27 09:48:00,115
2024-03-27 09:52:00,0
2024-03-27 09:56:00,67
2024-03-27 10:00:00,0
2024-03-27 10:04:00,0
2024-03-27 10:08:00,0
2024-03-27 10:12:00,40
2024-03-27 10:16:00,0
2024-03-27 10:20:00,45
2024-03-27 10:24:00,0
2024-03-27 10:28:00,42
2024-03-27 10:32:00,39
2024-03-27 10:36:00,0
2024-03-27 10:40:00,38
2024-03-27 10:44:00,33
2024-03-27 10:48:00,0
2024-03-27 10:52:00,0
2024-03-27 10:56:00,62
2024-03-27 11:00:00,0
2024-03-27 11:04:00,65
2024-03-27 11:08:00,0
2024-03-27 11:12:00,40
2024-03-27 11:16:00,41
2024-03-27 11:20:00,0
2024-03-27 11:24:00,0
2024-03-27 11:28:00,0
2024-03-27 11:32:00,62
2024-03-27 11:36:00,0
2024-03-27 11:40:00,47
2024-03-27 11:44:00,0
2024-03-27 11:48:00,58
2024-03-27 11:52:00,0
2024-03-27 11:56:00,55
2024-03-27 12:00:00,0
2024-03-27 12:04:00,0
2024-03-27 12:08:00,61
2024-03-27 12:12:00,42
2024-03-27 12:16:00,0
2024-03-27 12:20:00,44
2024-03-27 12:24:00,0
2024-03-27 12:28:00,46
2024-03-27 12:32:00,0
2024-03-27 12:36:00,50
2024-03-27 12:40:00,42
2024-03-27 12:44:00,0
2024-03-27 12:48:00,52
2024-03-27 12:52:00,0
2024-03-27 12:56:00,46
2024-03-27 13:00:00,0
2024-03-27 13:04:00,52
2024-03-27 13:08:00,0
2024-03-27 13:12:00,59
2024-03-27 13:16:00,0
2024-03-27 13:20:00,0
2024-03-27 13:24:00,60
2024-03-27 13:28:00,0
2024-03-27 13:32:00,73
2024-03-27 13:36:00,0
2024-03-27 13:40:00,48
2024-03-27 13:44:00,0
2024-03-27 13:48:00,68
2024-03-27 13:52:00,0
2024-03-27 13:56:00,58
2024-03-27 14:00:00,0
2024-03-27 14:04:00,53
2024-03-27 14:08:00,0
2024-03-27 14:12:00,0
2024-03-27 14:16:00,59
2024-03-27 14:20:00,42
2024-03-27 14:24:00,0
2024-03-27 14:28:00,41
2024-03-27 14:32:00,0
2024-03-27 14:36:00,53
2024-03-27 14:40:00,35
2024-03-27 14:44:00,0
2024-03-27 14:48:00,48
2024-03-27 14:52:00,0
2024-03-27 14:56:00,0
2024-03-27 15:00:00,0
2024-03-27 15:04:00,62
2024-03-27 15:08:00,42
2024-03-27 15:12:00,0
2024-03-27 15:16:00,38
2024-03-27 15:20:00,0
2024-03-27 15:24:00,55
2024-03-27 15:28:00,38
2024-03-27 15:32:00,34
2024-03-27 15:36:00,0
2024-03-27 15:40:00,52
2024-03-27 15:44:00,0
2024-03-27 15:48:00,0

